year_CPS,Characteristic,OppShare_New_Entrp,Breakdown,Rate_New_Entrp,Location,startup_index,Index Year,year_BDS,startup_density,Rank,Composition_of_New_Entrp,norm_rate,norm_opp,norm_density,z_rate,z_oppshare,z_startup_den,rank_last_y,rank_diff,index_last_y,index_diff,dataset,Location_name,Category,OppShare_New_Entrp_web,Rate_New_Entrp_web,location_category,index_diff_text
2008,Ages 55-64,0.86321,Age,0.003576623,0,,2008,,,,0.211600006,,,,,,,,,,,national_demog,United States,National,8.632100105,357.6622925,the,.
2011,Male,0.67842,Gender,0.004161286,0,,2011,,,,0.622799993,,,,,,,,,,,national_demog,United States,National,6.784200191,416.1286011,the,.
2016,Male,0.80749,Gender,0.003891328,0,,2016,,,,0.605099976,,,,,,,,,,,national_demog,United States,National,8.074899673,389.1328125,the,.
2016,Black,0.7631,Race,0.002195079,0,,2016,,,,0.092399999,,,,,,,,,,,national_demog,United States,National,7.631000042,219.5079041,the,.
2000,Non-Veterans,0.83364,Veteran Status,0.002648786,0,,2000,,,,0.886900008,,,,,,,,,,,national_demog,United States,National,8.336400032,264.8786011,the,.
1997,White,,Race,0.002911852,0,,1997,,,,0.756099999,,,,,,,,,,,national_demog,United States,National,,291.1852112,the,.
2011,Ages 20-34,0.70216,Age,0.002734169,0,,2011,,,,0.294400007,,,,,,,,,,,national_demog,United States,National,7.02159977,273.4169006,the,.
1999,,0.8392,,0.0027,0,0.159999996,1999,1999,102.9499969,,,0,80.06354523,78.8154068,-1.376146913,1.131285667,0.715888917,,,0.300000012,-0.140000015,National_Profile,United States,National,8.392000198,270,the,basically no changes 
,,,,,0,,1985,1985,128.0299988,,,,,,,,2.881692171,,,,,National_Profile,United States,National,,,the,.
2013,Other,,Race,,0,,2013,,,,0.034899998,,,,,,,,,,,national_demog,United States,National,,,the,.
2010,Latino,0.7001,Race,0.005612589,0,,2010,,,,0.233899996,,,,,,,,,,,national_demog,United States,National,7.000999928,561.2589111,the,.
1996,White,,Race,0.003328802,0,,1996,,,,0.771200001,,,,,,,,,,,national_demog,United States,National,,332.880188,the,.
1996,Male,,Gender,0.003779062,0,,1996,,,,0.563300014,,,,,,,,,,,national_demog,United States,National,,377.906189,the,.
2013,Asian,0.85677,Race,0.002785103,0,,2013,,,,0.0612,,,,,,,,,,,national_demog,United States,National,8.567700386,278.5103149,the,.
2014,Asian,0.8734,Race,0.003338784,0,,2014,,,,0.068000004,,,,,,,,,,,national_demog,United States,National,8.734000206,333.8783875,the,.
2010,Male,0.7041,Gender,0.00438569,0,,2010,,,,0.622399986,,,,,,,,,,,national_demog,United States,National,7.040999889,438.5690002,the,.
2016,Female,0.87299,Gender,0.002317801,0,,2016,,,,0.394899994,,,,,,,,,,,national_demog,United States,National,8.72990036,231.7801056,the,.
2005,Latino,0.75482,Race,0.003072571,0,,2005,,,,0.137999997,,,,,,,,,,,national_demog,United States,National,7.54820013,307.2571106,the,.
1998,Some College,0.81447,Education,0.003000634,0,,1998,,,,0.261200011,,,,,,,,,,,national_demog,United States,National,8.14470005,300.063385,the,.
2001,Some College,0.86901,Education,0.002678237,0,,2001,,,,0.257800013,,,,,,,,,,,national_demog,United States,National,8.690099716,267.8237,the,.
2011,Immigrant,0.71418,Nativity,0.005524663,0,,2011,,,,0.279799998,,,,,,,,,,,national_demog,United States,National,7.141799927,552.4663086,the,.
1999,Veterans,0.81787,Veteran Status,0.002995213,0,,1999,,,,0.1118,,,,,,,,,,,national_demog,United States,National,8.178700447,299.5213013,the,.
2010,Ages 45-54,0.76349,Age,0.003526562,0,,2010,,,,0.251800001,,,,,,,,,,,national_demog,United States,National,7.634900093,352.656189,the,.
2013,Female,0.83957,Gender,0.002181222,0,,2013,,,,0.412699997,,,,,,,,,,,national_demog,United States,National,8.395700455,218.1221924,the,.
2008,Female,0.89212,Gender,0.002279031,0,,2008,,,,0.374900013,,,,,,,,,,,national_demog,United States,National,8.921199799,227.9031067,the,.
2013,Immigrant,0.75722,Nativity,0.004292076,0,,2013,,,,0.258899987,,,,,,,,,,,national_demog,United States,National,7.572199821,429.2076111,the,.
2013,Some College,0.77835,Education,0.002739423,0,,2013,,,,0.256099999,,,,,,,,,,,national_demog,United States,National,7.783500195,273.9422913,the,.
2014,College Graduate,0.82446,Education,0.003203552,0,,2014,,,,0.32980001,,,,,,,,,,,national_demog,United States,National,8.244600296,320.3551941,the,.
2009,Black,0.73767,Race,0.00265359,0,,2009,,,,0.096600004,,,,,,,,,,,national_demog,United States,National,7.376699924,265.3590088,the,.
2009,Latino,0.7382,Race,0.004570197,0,,2009,,,,0.187399998,,,,,,,,,,,national_demog,United States,National,7.381999969,457.0197144,the,.
2009,White,0.7949,Race,0.003250819,0,,2009,,,,0.645699978,,,,,,,,,,,national_demog,United States,National,7.948999882,325.0819092,the,.
2003,Ages 55-64,0.87614,Age,0.003470211,0,,2003,,,,0.187000006,,,,,,,,,,,national_demog,United States,National,8.761400223,347.0210876,the,.
2002,,0.7684,,0.0028,0,-0.400000006,2002,2002,101.0699997,,,14.2857151,23.8284359,72.92384338,-0.917431295,-0.846368074,0.55354023,,,-0.109999999,-0.290000021,National_Profile,United States,National,7.684000015,280,the,a slight decrease
2005,White,0.80552,Race,0.002895536,0,,2005,,,,0.695500016,,,,,,,,,,,national_demog,United States,National,8.055199623,289.5535889,the,.
2009,Ages 20-34,0.74109,Age,0.002436174,0,,2009,,,,0.246600002,,,,,,,,,,,national_demog,United States,National,7.410900116,243.6174011,the,.
2008,Asian,0.88262,Race,0.003354144,0,,2008,,,,0.054000001,,,,,,,,,,,national_demog,United States,National,8.826199532,335.4143982,the,.
2002,Veterans,0.782,Veteran Status,0.003225846,0,,2002,,,,0.103299998,,,,,,,,,,,national_demog,United States,National,7.820000172,322.5845947,the,.
2006,Female,0.87578,Gender,0.002402493,0,,2006,,,,0.423000008,,,,,,,,,,,national_demog,United States,National,8.757800102,240.2492981,the,.
2014,Ages 35-44,0.79375,Age,0.003342699,0,,2014,,,,0.228799999,,,,,,,,,,,national_demog,United States,National,7.9375,334.2698975,the,.
2014,High School Graduate,0.77849,Education,0.003418241,0,,2014,,,,0.294499993,,,,,,,,,,,national_demog,United States,National,7.784900188,341.8240967,the,.
2000,College Graduate,0.86969,Education,0.002562262,0,,2000,,,,0.249400005,,,,,,,,,,,national_demog,United States,National,8.696900368,256.2261963,the,.
2014,Native-Born,0.78761,Nativity,0.002654461,0,,2014,,,,0.714600027,,,,,,,,,,,national_demog,United States,National,7.876100063,265.446106,the,.
2001,High School Graduate,0.845,Education,0.002573752,0,,2001,,,,0.291500002,,,,,,,,,,,national_demog,United States,National,8.449999809,257.3752136,the,.
1999,Latino,0.76221,Race,0.003101211,0,,1999,,,,0.122299999,,,,,,,,,,,national_demog,United States,National,7.622099876,310.1210938,the,.
2006,Male,0.74001,Gender,0.003616887,0,,2006,,,,0.577000022,,,,,,,,,,,national_demog,United States,National,7.400100231,361.6886902,the,.
1997,Some College,,Education,0.003057789,0,,1997,,,,0.279500008,,,,,,,,,,,national_demog,United States,National,,305.7789001,the,.
1998,College Graduate,0.83851,Education,0.002930985,0,,1998,,,,0.25819999,,,,,,,,,,,national_demog,United States,National,8.385100365,293.0985107,the,.
2015,Some College,0.79982,Education,0.003336585,0,,2015,,,,0.259799987,,,,,,,,,,,national_demog,United States,National,7.99819994,333.6585083,the,.
2007,Latino,0.78996,Race,0.004019008,0,,2007,,,,0.179399997,,,,,,,,,,,national_demog,United States,National,7.899600029,401.9007874,the,.
,,,,,0,,1987,1987,130.1900024,,,,,,,,3.068221092,,,,,National_Profile,United States,National,,,the,.
2014,Non-Veterans,0.79223,Veteran Status,0.00308814,0,,2014,,,,0.944400012,,,,,,,,,,,national_demog,United States,National,7.922299862,308.8139954,the,.
2001,,0.8299,,0.0027,0,-0.109999999,2001,2001,96.52999878,,,0,72.67672729,58.69632721,-1.376146913,0.871509135,0.161484897,,,0.289999992,-0.399999976,National_Profile,United States,National,8.298999786,270,the,a slight decrease
2003,Ages 20-34,0.77339,Age,0.002347856,0,,2003,,,,0.270799994,,,,,,,,,,,national_demog,United States,National,7.73390007,234.7855988,the,.
2002,Ages 55-64,0.90073,Age,0.003010928,0,,2002,,,,0.168400005,,,,,,,,,,,national_demog,United States,National,9.007300377,301.092804,the,.
2011,Veterans,0.71715,Veteran Status,0.002982987,0,,2011,,,,0.060400002,,,,,,,,,,,national_demog,United States,National,7.171500206,298.2987061,the,.
2003,Native-Born,0.78792,Nativity,0.002887132,0,,2003,,,,0.813399971,,,,,,,,,,,national_demog,United States,National,7.879199982,288.7131958,the,.
2008,Ages 35-44,0.79571,Age,0.003390268,0,,2008,,,,0.245000005,,,,,,,,,,,national_demog,United States,National,7.957099915,339.0267944,the,.
2015,Male,0.78046,Gender,0.004159423,0,,2015,,,,0.594399989,,,,,,,,,,,national_demog,United States,National,7.804599762,415.9422913,the,.
2015,Black,0.76779,Race,0.002299714,0,,2015,,,,0.089000002,,,,,,,,,,,national_demog,United States,National,7.677899837,229.971405,the,.
2002,Male,0.76549,Gender,0.003453962,0,,2002,,,,0.586399972,,,,,,,,,,,national_demog,United States,National,7.654900074,345.3962097,the,.
1996,High School Graduate,,Education,0.003135448,0,,1996,,,,0.323399991,,,,,,,,,,,national_demog,United States,National,,313.5447998,the,.
2000,High School Graduate,0.84148,Education,0.002907056,0,,2000,,,,0.33070001,,,,,,,,,,,national_demog,United States,National,8.41479969,290.7055969,the,.
2002,White,0.8276,Race,0.002827782,0,,2002,,,,0.721800029,,,,,,,,,,,national_demog,United States,National,8.276000023,282.7781982,the,.
2012,Black,0.69699,Race,0.002078817,0,,2012,,,,0.0876,,,,,,,,,,,national_demog,United States,National,6.969900131,207.8816986,the,.
2015,Latino,0.77213,Race,0.004597224,0,,2015,,,,0.208000004,,,,,,,,,,,national_demog,United States,National,7.721300125,459.7224121,the,.
2015,Other,,Race,,0,,2015,,,,0.038899999,,,,,,,,,,,national_demog,United States,National,,,the,.
1996,Native-Born,,Nativity,0.003097677,0,,1996,,,,0.8671,,,,,,,,,,,national_demog,United States,National,,309.7677002,the,.
2015,Native-Born,0.80909,Nativity,0.002923337,0,,2015,,,,0.725199997,,,,,,,,,,,national_demog,United States,National,8.090900421,292.3337097,the,.
2007,Ages 55-64,0.86455,Age,0.003100098,0,,2007,,,,0.190500006,,,,,,,,,,,national_demog,United States,National,8.645500183,310.0097961,the,.
2015,Veterans,0.75726,Veteran Status,0.002606443,0,,2015,,,,0.040899999,,,,,,,,,,,national_demog,United States,National,7.572599888,260.6442871,the,.
2002,Some College,0.84092,Education,0.002678262,0,,2002,,,,0.246600002,,,,,,,,,,,national_demog,United States,National,8.409199715,267.8262024,the,.
1999,Some College,0.8221,Education,0.002870359,0,,1999,,,,0.272199988,,,,,,,,,,,national_demog,United States,National,8.220999718,287.0358887,the,.
2007,College Graduate,0.85269,Education,0.003250483,0,,2007,,,,0.315100014,,,,,,,,,,,national_demog,United States,National,8.526900291,325.0483093,the,.
2016,Immigrant,0.83472,Nativity,0.005165715,0,,2016,,,,0.294999987,,,,,,,,,,,national_demog,United States,National,8.347200394,516.5714722,the,.
2000,Some College,0.84673,Education,0.00279188,0,,2000,,,,0.264200002,,,,,,,,,,,national_demog,United States,National,8.467300415,279.1879883,the,.
2006,Asian,0.85446,Race,0.003138883,0,,2006,,,,0.050999999,,,,,,,,,,,national_demog,United States,National,8.544599533,313.8883057,the,.
2005,Ages 20-34,0.7657,Age,0.002663461,0,,2005,,,,0.321200013,,,,,,,,,,,national_demog,United States,National,7.657000065,266.3460999,the,.
2006,Veterans,0.7415,Veteran Status,0.003544288,0,,2006,,,,0.091899998,,,,,,,,,,,national_demog,United States,National,7.414999962,354.4288025,the,.
2016,Asian,0.88231,Race,0.00343932,0,,2016,,,,0.075900003,,,,,,,,,,,national_demog,United States,National,8.82310009,343.9320068,the,.
2008,Ages 20-34,0.77099,Age,0.002634954,0,,2008,,,,0.281100005,,,,,,,,,,,national_demog,United States,National,7.709899902,263.4953918,the,.
,,,,,0,,1981,1981,127.2300034,,,,,,,,2.812608004,,,,,National_Profile,United States,National,,,the,.
2015,Ages 35-44,0.81478,Age,0.004046896,0,,2015,,,,0.254900008,,,,,,,,,,,national_demog,United States,National,8.147800446,404.6896057,the,.
1999,White,0.83402,Race,0.002775099,0,,1999,,,,0.742699981,,,,,,,,,,,national_demog,United States,National,8.340200424,277.5098877,the,.
2006,Some College,0.78703,Education,0.003272463,0,,2006,,,,0.283499986,,,,,,,,,,,national_demog,United States,National,7.870299816,327.2463074,the,.
,,,,,0,,1986,1986,127.8199997,,,,,,,,2.863557577,,,,,National_Profile,United States,National,,,the,.
2006,Latino,0.78344,Race,0.003421935,0,,2006,,,,0.149599999,,,,,,,,,,,national_demog,United States,National,7.834400177,342.193512,the,.
2000,Ages 45-54,0.832,Age,0.002992332,0,,2000,,,,0.248699993,,,,,,,,,,,national_demog,United States,National,8.319999695,299.2331848,the,.
2015,Non-Veterans,0.8087,Veteran Status,0.003377915,0,,2015,,,,0.959100008,,,,,,,,,,,national_demog,United States,National,8.086999893,337.7915039,the,.
2000,Black,0.75981,Race,0.002320482,0,,2000,,,,0.107000001,,,,,,,,,,,national_demog,United States,National,7.598100185,232.0482025,the,.
2005,Non-Veterans,0.78354,Veteran Status,0.002805891,0,,2005,,,,0.907599986,,,,,,,,,,,national_demog,United States,National,7.835400105,280.5891113,the,.
2006,Ages 35-44,0.77582,Age,0.002999628,0,,2006,,,,0.241799995,,,,,,,,,,,national_demog,United States,National,7.758200169,299.9627991,the,.
2006,Ages 20-34,0.77558,Age,0.002369466,0,,2006,,,,0.271100014,,,,,,,,,,,national_demog,United States,National,7.75579977,236.9465942,the,.
2012,Asian,0.86631,Race,0.003130955,0,,2012,,,,0.061500002,,,,,,,,,,,national_demog,United States,National,8.663100243,313.0954895,the,.
2006,Ages 45-54,0.79614,Age,0.003495797,0,,2006,,,,0.281399995,,,,,,,,,,,national_demog,United States,National,7.961400032,349.5797119,the,.
1998,Asian,0.84936,Race,0.002549795,0,,1998,,,,0.034699999,,,,,,,,,,,national_demog,United States,National,8.493599892,254.9795074,the,.
2010,Ages 55-64,0.85073,Age,0.003872515,0,,2010,,,,0.228699997,,,,,,,,,,,national_demog,United States,National,8.507300377,387.2514954,the,.
,,,,,0,,1993,1993,106.6699982,,,,,,,,1.037132502,,,,,National_Profile,United States,National,,,the,.
2002,Ages 45-54,0.823,Age,0.003108807,0,,2002,,,,0.262100011,,,,,,,,,,,national_demog,United States,National,8.229999542,310.8807068,the,.
2006,High School Graduate,0.78612,Education,0.00291954,0,,2006,,,,0.28549999,,,,,,,,,,,national_demog,United States,National,7.861199856,291.95401,the,.
2006,,0.8079,,0.003,0,0.460000008,2006,2006,107.6999969,,,42.8571434,55.20254135,93.70102692,-1.19619E-07,0.256983936,1.126078844,,,-0.059999999,0.519999981,National_Profile,United States,National,8.079000473,300,the,a slight increase
2007,,0.8016,,0.003,0,0.189999998,2007,2007,100.2699966,,,42.8571434,50.19857025,70.41678619,-1.19619E-07,0.081006289,0.484455347,,,0.460000008,-0.270000011,National_Profile,United States,National,8.015999794,300,the,a slight decrease
,,,,,0,,1989,1989,112.5,,,,,,,,1.540586948,,,,,National_Profile,United States,National,,,the,.
2012,,0.7839,,0.003,0,-0.5,2012,2012,82.05999756,,,42.8571434,36.1397934,13.35003281,-1.19619E-07,-0.413407147,-1.088083386,,,-0.620000005,0.120000005,National_Profile,United States,National,7.839000225,300,the,basically no changes 
2014,,0.7957,,0.0031,0,-0.300000012,2014,2014,79.84999847,,,57.1428566,45.51231384,6.424306393,0.458715469,-0.083798185,-1.278929591,,,-0.870000005,0.569999993,National_Profile,United States,National,7.956999779,310,the,a slight increase
2005,College Graduate,0.80496,Education,0.002858014,0,,2005,,,,0.283899993,,,,,,,,,,,national_demog,United States,National,8.049599648,285.8013916,the,.
2016,Veterans,0.79514,Veteran Status,0.002509108,0,,2016,,,,0.0416,,,,,,,,,,,national_demog,United States,National,7.951399803,250.9107971,the,.
2015,,0.8401,,0.0033,0,0.469999999,2015,2015,81.58000183,,,85.7142868,80.77839661,11.84581184,1.376146674,1.156425357,-1.129533887,,,-0.300000012,0.769999981,National_Profile,United States,National,8.401000023,330,the,a slight increase
2009,Native-Born,0.78729,Nativity,0.00302236,0,,2009,,,,0.757300019,,,,,,,,,,,national_demog,United States,National,7.872900009,302.2359924,the,.
2003,Ages 45-54,0.78725,Age,0.003119165,0,,2003,,,,0.243100002,,,,,,,,,,,national_demog,United States,National,7.872499943,311.9165039,the,.
2012,Ages 20-34,0.7316,Age,0.002295868,0,,2012,,,,0.261700004,,,,,,,,,,,national_demog,United States,National,7.315999985,229.5868073,the,.
2005,Ages 45-54,0.78512,Age,0.00261463,0,,2005,,,,0.219300002,,,,,,,,,,,national_demog,United States,National,7.851200104,261.4630127,the,.
2014,Veterans,0.70038,Veteran Status,0.003114742,0,,2014,,,,0.055599999,,,,,,,,,,,national_demog,United States,National,7.003799915,311.4742126,the,.
1998,Immigrant,0.79098,Nativity,0.003138583,0,,1998,,,,0.136800006,,,,,,,,,,,national_demog,United States,National,7.909800053,313.8583069,the,.
2004,Native-Born,0.77866,Nativity,0.002816941,0,,2004,,,,0.793900013,,,,,,,,,,,national_demog,United States,National,7.786600113,281.6940918,the,.
2004,Immigrant,0.77284,Nativity,0.004104212,0,,2004,,,,0.206100002,,,,,,,,,,,national_demog,United States,National,7.72840023,410.4212036,the,.
1998,High School Graduate,0.80598,Education,0.002994474,0,,1998,,,,0.331999987,,,,,,,,,,,national_demog,United States,National,8.059800148,299.4473877,the,.
2008,Male,0.75075,Gender,0.00418157,0,,2008,,,,0.625100017,,,,,,,,,,,national_demog,United States,National,7.507500172,418.1570129,the,.
2016,Native-Born,0.83173,Nativity,0.002623144,0,,2016,,,,0.704999983,,,,,,,,,,,national_demog,United States,National,8.317299843,262.3143921,the,.
2014,Ages 20-34,0.76072,Age,0.002208512,0,,2014,,,,0.247299999,,,,,,,,,,,national_demog,United States,National,7.607200146,220.8511963,the,.
1997,Asian,,Race,0.002263647,0,,1997,,,,0.030999999,,,,,,,,,,,national_demog,United States,National,,226.3647003,the,.
1999,Other,,Race,,0,,1999,,,,0.0034,,,,,,,,,,,national_demog,United States,National,,,the,.
2003,Veterans,0.75459,Veteran Status,0.003692755,0,,2003,,,,0.1039,,,,,,,,,,,national_demog,United States,National,7.545899868,369.2755127,the,.
2007,Immigrant,0.82074,Nativity,0.004632767,0,,2007,,,,0.246299997,,,,,,,,,,,national_demog,United States,National,8.207400322,463.2767029,the,.
1999,Female,0.87307,Gender,0.002242333,0,,1999,,,,0.441100001,,,,,,,,,,,national_demog,United States,National,8.730699539,224.2333069,the,.
2003,Other,,Race,,0,,2003,,,,0.0263,,,,,,,,,,,national_demog,United States,National,,,the,.
2003,Latino,0.78833,Race,0.003972709,0,,2003,,,,0.162599996,,,,,,,,,,,national_demog,United States,National,7.883299828,397.2709045,the,.
2005,Female,0.8618,Gender,0.002295498,0,,2005,,,,0.424100012,,,,,,,,,,,national_demog,United States,National,8.618000031,229.5498047,the,.
2013,Native-Born,0.77332,Nativity,0.002461925,0,,2013,,,,0.741100013,,,,,,,,,,,national_demog,United States,National,7.733200073,246.1925049,the,.
1998,Less than High School,0.73784,Education,0.003285843,0,,1998,,,,0.148699999,,,,,,,,,,,national_demog,United States,National,7.378399849,328.5842896,the,.
1998,Female,0.87255,Gender,0.002521937,0,,1998,,,,0.46450001,,,,,,,,,,,national_demog,United States,National,8.725500107,252.1936951,the,.
2003,Male,0.7333,Gender,0.003838904,0,,2003,,,,0.601700008,,,,,,,,,,,national_demog,United States,National,7.333000183,383.8904114,the,.
2008,Ages 45-54,0.808,Age,0.003456684,0,,2008,,,,0.262400001,,,,,,,,,,,national_demog,United States,National,8.079999924,345.668396,the,.
2000,,0.8643,,0.0027,0,0.289999992,2000,2000,99.62000275,,,0,100,68.37982178,-1.376146913,1.832402945,0.42832461,,,0.159999996,0.129999995,National_Profile,United States,National,8.642999649,270,the,basically no changes 
2003,Less than High School,0.76232,Education,0.004376595,0,,2003,,,,0.169,,,,,,,,,,,national_demog,United States,National,7.62319994,437.6594849,the,.
2003,High School Graduate,0.80393,Education,0.003105569,0,,2003,,,,0.301999986,,,,,,,,,,,national_demog,United States,National,8.039299965,310.5568848,the,.
2010,,0.7416,,0.0034,0,-0.409999996,2010,2010,77.80000305,,,100,2.541700602,0,1.834862232,-1.594971418,-1.455958605,,,-0.349999994,-0.060000002,National_Profile,United States,National,7.415999889,340,the,basically no changes 
2013,Ages 20-34,0.74404,Age,0.001824836,0,,2013,,,,0.226600006,,,,,,,,,,,national_demog,United States,National,7.440400124,182.4835968,the,.
2009,,0.7384,,0.0034,0,-0.349999994,2009,2009,80.81999969,,,100,0,9.464107513,1.834862232,-1.684356928,-1.195164442,,,0.360000014,-0.710000038,National_Profile,United States,National,7.383999825,340,the,a slight decrease
2004,Male,0.72259,Gender,0.003726046,0,,2004,,,,0.586700022,,,,,,,,,,,national_demog,United States,National,7.225900173,372.6046143,the,.
1997,Male,,Gender,0.003555384,0,,1997,,,,0.600600004,,,,,,,,,,,national_demog,United States,National,,355.5383911,the,.
1997,Immigrant,,Nativity,0.003274476,0,,1997,,,,0.141800001,,,,,,,,,,,national_demog,United States,National,,327.4476013,the,.
1997,Native-Born,,Nativity,0.002728382,0,,1997,,,,0.858200014,,,,,,,,,,,national_demog,United States,National,,272.8381958,the,.
2014,White,0.79713,Race,0.002896923,0,,2014,,,,0.590900004,,,,,,,,,,,national_demog,United States,National,7.971300125,289.6922913,the,.
1996,Ages 55-64,,Age,0.003411021,0,,1996,,,,0.148300007,,,,,,,,,,,national_demog,United States,National,,341.1021118,the,.
1997,Latino,,Race,0.003189786,0,,1997,,,,0.116800003,,,,,,,,,,,national_demog,United States,National,,318.9786072,the,.
2012,Some College,0.76268,Education,0.002825917,0,,2012,,,,0.243900001,,,,,,,,,,,national_demog,United States,National,7.62680006,282.5917053,the,.
2015,Asian,0.86365,Race,0.002874938,0,,2015,,,,0.056600001,,,,,,,,,,,national_demog,United States,National,8.636500359,287.4938049,the,.
1998,Ages 45-54,0.81087,Age,0.002842784,0,,1998,,,,0.212500006,,,,,,,,,,,national_demog,United States,National,8.108699799,284.2784119,the,.
2015,Ages 45-54,0.80205,Age,0.00374613,0,,2015,,,,0.252499998,,,,,,,,,,,national_demog,United States,National,8.020500183,374.6130066,the,.
2010,Non-Veterans,0.76246,Veteran Status,0.003408372,0,,2010,,,,0.946500003,,,,,,,,,,,national_demog,United States,National,7.624599934,340.8371887,the,.
2013,Ages 55-64,0.80513,Age,0.003050345,0,,2013,,,,0.233999997,,,,,,,,,,,national_demog,United States,National,8.051300049,305.0344849,the,.
1999,Immigrant,0.78074,Nativity,0.003232739,0,,1999,,,,0.151800007,,,,,,,,,,,national_demog,United States,National,7.807400227,323.2738953,the,.
2013,Less than High School,0.69974,Education,0.004811745,0,,2013,,,,0.168500006,,,,,,,,,,,national_demog,United States,National,6.997399807,481.1744995,the,.
1996,,0.8111,,0.0032,0,0.850000024,1996,1996,109.7099991,,,71.42857361,57.74424362,100,0.917431056,0.346369416,1.299654245,,,,,National_Profile,United States,National,8.111000061,320,the,.
,,,,,0,,1991,1991,107.4800034,,,,,,,,1.107081175,,,,,National_Profile,United States,National,,,the,.
2002,Black,0.74331,Race,0.00236529,0,,2002,,,,0.106899999,,,,,,,,,,,national_demog,United States,National,7.433100224,236.529007,the,.
2006,College Graduate,0.83362,Education,0.002989368,0,,2006,,,,0.286199987,,,,,,,,,,,national_demog,United States,National,8.33619976,298.9367981,the,.
2010,White,0.7782,Race,0.003058376,0,,2010,,,,0.601499975,,,,,,,,,,,national_demog,United States,National,7.782000065,305.8375854,the,.
1999,Black,0.7217,Race,0.002062255,0,,1999,,,,0.095700003,,,,,,,,,,,national_demog,United States,National,7.217000008,206.2254944,the,.
1997,High School Graduate,,Education,0.002702823,0,,1997,,,,0.316199988,,,,,,,,,,,national_demog,United States,National,,270.2822876,the,.
2014,Male,0.75218,Gender,0.004090886,0,,2014,,,,0.631799996,,,,,,,,,,,national_demog,United States,National,7.521800041,409.0885925,the,.
2013,Veterans,0.69808,Veteran Status,0.002304653,0,,2013,,,,0.048099998,,,,,,,,,,,national_demog,United States,National,6.980800152,230.4653015,the,.
2012,Veterans,0.68735,Veteran Status,0.002819901,0,,2012,,,,0.057,,,,,,,,,,,national_demog,United States,National,6.87349987,281.9901123,the,.
2008,Black,0.75864,Race,0.002187514,0,,2008,,,,0.0832,,,,,,,,,,,national_demog,United States,National,7.586400032,218.7514038,the,.
1998,Native-Born,0.80732,Nativity,0.002826491,0,,1998,,,,0.863200009,,,,,,,,,,,national_demog,United States,National,8.073200226,282.6491089,the,.
2000,Immigrant,0.8277,Nativity,0.003222197,0,,2000,,,,0.158700004,,,,,,,,,,,national_demog,United States,National,8.277000427,322.219696,the,.
1998,Other,,Race,,0,,1998,,,,0.0131,,,,,,,,,,,national_demog,United States,National,,,the,.
1999,Ages 20-34,0.79003,Age,0.002560517,0,,1999,,,,0.339300007,,,,,,,,,,,national_demog,United States,National,7.900300026,256.0516968,the,.
2016,White,0.84678,Race,0.002756101,0,,2016,,,,0.555899978,,,,,,,,,,,national_demog,United States,National,8.46780014,275.6101074,the,.
1997,Ages 55-64,,Age,0.003115918,0,,1997,,,,0.153600007,,,,,,,,,,,national_demog,United States,National,,311.5917969,the,.
2005,Native-Born,0.78863,Nativity,0.002758379,0,,2005,,,,0.822000027,,,,,,,,,,,national_demog,United States,National,7.886300087,275.8378906,the,.
